ID; Name; Description; Icon
439 ; Genie der Scherbenwelt ; Erlangt die unten aufgelisteten Berufserfolge. ; -Spell_Magic_GreaterBlessingOfKings
440 ; Vorrat aufstocken ; Stellt 100 schwere Runenstoffverbände her. ; -Inv_Misc_Bandage_12
441 ; Vorrat aufstocken ; Stellt 500 schwere Runenstoffverbände her. ; -Inv_Misc_Bandage_12
442 ; Vorbereitung für die Leere ; Stellt 100 schwere Netherstoffverbände her. ; -Inv_Misc_Bandage_Netherweave_Heavy
443 ; Vorbereitung für die Leere ; Stellt 500 schwere Netherstoffverbände her. ; -Inv_Misc_Bandage_Netherweave_Heavy
444 ; Für's Angeln nur das Beste! ; Gewinnt den Angelwettbewerb in der Beutebucht und wählt die Arkanitangel oder den Angelhaken des Anglermeisters als Belohnung. ; -inv_misc_fish_21
445 ; Echter Fischliebhaber ; Angelt einen der besonderen Fische während des Angelwettbewerbs in der Beutebucht. ; -inv_misc_fish_10
446 ; Fischsammlung ; Fangt die unten aufgelisteten Fische in Azeroth. ; -inv_misc_fish_08
447 ; Wasser aus Wasser ; Angelt eine Essenz des Wassers. ; -Spell_Nature_Acid_01
448 ; Aufhören unmöglich ; Angelt die folgenden Rumsorten. ; -Inv_Drink_04
449 ; Geschenk von Mordor ; Angelt den Einen Ring. ; -Inv_Jewelry_Ring_03
450 ; Bote eines traurigen Endes ; Angelt Old Teamsters Schädel. ; -Inv_Misc_Bone_DwarfSkull_01
451 ; Großer Schnapperfanger ; Angelt Matschschnapper der folgenden Größen. ; -inv_misc_fish_32
452 ; Barschfänger ; Angelt Barsche der folgenden Größen. ; -inv_misc_fish_06
453 ; Lachsliebhaber ; Angelt Lachse der folgenden Größen. ; -inv_misc_fish_02
454 ; Hummerjäger ; Angelt Hummer der folgenden Größen. ; -Inv_Misc_Fish_14
455 ; Der größte Angler von Azeroth ; Schließt die unten aufgelisteten Angel-Erfolge ab. ; -Inv_FishingPole_01
456 ; Dr. Zwicky! ; Angelt Dr. Zwicky in der Scherbenwelt. ; -Inv_Misc_Fish_14
457 ; Freizeitkoch ; Lernt 5 Kochrezepte. ; -inv_misc_food_66
458 ; Commis de Cuisine ; Lernt 10 Kochrezepte. ; -inv_misc_food_65
459 ; Chef de Partie ; Lernt 25 Kochrezepte. ; -inv_misc_food_60
460 ; Sous Chef ; Lernt 50 Kochrezepte. ; -inv_misc_food_13
461 ; Chef de Cuisine ; Lernt 75 Kochrezepte. ; -inv_misc_food_92_lobster
462 ; Suppenkocher ; Kocht Nachtflossensuppe 100-mal. ; -Inv_Drink_17
463 ; Konditormeister ; Kocht Runn Tum Knolle Surprise 100-mal. ; -Inv_Misc_Food_63
464 ; Fang des Tages ; Kocht Gegrillter Kalmar 100-mal. ; -Inv_Misc_Fish_13
465 ; Omas Knödel ; Kocht Geräucherte Wüstenknödel 100-mal. ; -Inv_Misc_Food_64
466 ; Große Festtafel ; Schließt die unten aufgelisteten Kocherfolge ab. ; -Inv_Misc_Food_49
467 ; Super nahrhafte Koteletts ; Kocht Dirges abgefahrene Chimaerokkoteletts 20-mal. ; -Inv_Misc_Food_65
468 ; Jemand mag mich! ; Erreicht einen ehrfürchtigen Ruf. ; -achievement_reputation_01
469 ; 5 ehrfürchtige Fraktionen ; Erreicht bei 5 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_02
470 ; 10 ehrfürchtige Fraktionen ; Erreicht bei 10 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_03
471 ; 15 ehrfürchtige Fraktionen ; Erreicht bei 15 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_04
472 ; 20 ehrfürchtige Fraktionen ; Erreicht bei 20 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_05
473 ; 25 ehrfürchtige Fraktionen ; Erreicht bei 25 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_06
474 ; 30 ehrfürchtige Fraktionen ; Erreicht bei 30 Fraktionen einen ehrfürchtigen Ruf. ; -achievement_reputation_07
475 ; Botschafter der Horde ; Erreicht einen ehrfürchtigen Ruf in 4 Heimatstädten. ; -achievement_pvp_o_h
476 ; Botschafter der Allianz ; Erreicht einen ehrfürchtigen Ruf in 4 Heimatstädten. ; -achievement_pvp_o_a
477 ; Die Hydraxianer ; Erreicht bei den Hydraxianern den Status ehrfürchtig. ; -spell_frost_summonwaterelemental_2
478 ; Stamm der Zandalar ; Erreicht beim Stamm der Zandalar den Status ehrfürchtig. ; -inv_bijou_green
479 ; Brut von Nozdormu ; Erreicht bei der Brut Nozdormus den Status ehrfürchtig. ; -Inv_Misc_Head_Dragon_Bronze
480 ; Argentumdämmerung ; Erreicht bei der Argentumdämmerung den Status ehrfürchtig. ; -inv_jewelry_talisman_07
481 ; Die stehen auf mich in diesem Tunnel ; Erreicht bei der Holzschlundfeste den Status ehrfürchtig. ; -achievement_reputation_timbermaw
482 ; Dunkelmond-Jahrmarkt ; Erreicht beim Dunkelmond-Jahrmarkt den Status ehrfürchtig. ; -Inv_Misc_MissileLarge_Red
483 ; Thoriumbruderschaft ; Erreicht bei der Thoriumbruderschaft den Status ehrfürchtig. ; -inv_enchant_dustsoul
484 ; Agent der Shen'dralar ; Erreicht bei den Shen'dralar den Status ehrfürchtig. ; -inv_misc_book_11
485 ; Der brennende Kreuzritter ; Bringt alle Rufe der Burning-Crusade-Dungeons auf Ehrfürchtig. ; -Spell_Fire_FelfireWard
486 ; Der brennende Kreuzritter ; Bringt alle Rufe der Burning-Crusade-Dungeons auf Ehrfürchtig. ; -Spell_Fire_FelfireWard
487 ; Geteiltes Shattrath ; Erreicht bei den Sehern oder den Aldor den Status ehrfürchtig. ; -Spell_Arcane_PortalShattrath
488 ; Wächter des Cenarius ; Erreicht beim Zirkel des Cenarius und der Expedition des Cenarius den Status ehrfürchtig. ; -ability_racial_ultravision
489 ; Jeden Tag eine gute Tat für die Oger ; Erreicht in Ogri'la den Status ehrfürchtig. ; -Inv_Misc_Apexis_Crystal
490 ; Der Zar von Sporeggar ; Erreicht bei den Sporeggar den Status ehrfürchtig. ; -Inv_Mushroom_11
491 ; Ehrfurchtgebietender Offizier ; Erreicht beim Konsortium den Status ehrfürchtig. ; -Inv_Enchant_ShardPrismaticLarge
492 ; Mag'har von Draenor ; Erreicht bei den Mag'har den Status ehrfürchtig. ; -Inv_Misc_Foot_Centaur
493 ; Owei, Kurenai ; Erreicht bei den Kurenai den Status ehrfürchtig. ; -Inv_Misc_Foot_Centaur
494 ; Auf den Schwingen der Nether ; Erreicht bei den Netherschwingen den Status ehrfürchtig. ; -Ability_Mount_NetherdrakePurple
495 ; Aus dem Himmel gedonnert ; Bezwingt Hauptmann Himmelsdonner im Drachenmalrennen auf der Netherschwingenscherbe. ; -Ability_Mount_NetherdrakePurple
496 ; Das Violette Auge ; Erreicht beim Violetten Auge den Status ehrfürchtig. ; -Spell_Holy_Mindsooth
497 ; Die Wächter der Sande ; Erreicht bei den Wächtern der Sande den Status ehrfürchtig. ; -Inv_Enchant_DustIllusion
498 ; Höriger der Todeshörigen ; Erreicht bei den Todeshörigen der Aschenzungen den Status ehrfürchtig. ; -achievement_reputation_ashtonguedeathsworn
499 ; Welch eine Offensive ; Erreicht bei der Offensive der zerschmetterten Sonne den Status ehrfürchtig. ; -Inv_Shield_48
500 ; Sulfuras, Hand von Ragnaros ; Träger von Sulfuras, Hand von Ragnaros. ; -Inv_Hammer_Unique_Sulfuras
501 ; Donnerzorn, Gesegnete Klinge des Windsuchers ; Träger von Donnerzorn, Gesegnete Klinge des Windsuchers. ; -Inv_Sword_39
502 ; Skarabäusfürst ; Die Tore von Ahn'Qiraj geöffnet. ; -achievement_zone_silithus_01
503 ; Warum? Weil er rot ist! ; Erhaltet einen roten Qirajiresonanzkristall. ; -Inv_Misc_QirajiCrystal_02
504 ; Atiesh, Hohestab des Wächters ; Träger von Atiesh, Hohestab des Wächters. ; -Inv_Staff_Medivh
505 ; Schneller zulianischer Tiger ; Erhaltet den schnellen zulianischen Tiger vom Hohepriester Thekal in Zul'Gurub. ; -ability_mount_jungletiger
506 ; Schneller Razzashiraptor ; Erhaltet den schnellen Razzashiraptor von Blutfürst Mandokir in Zul'Gurub. ; -ability_mount_raptor
507 ; Die Zügel des Todesstreitrosses ; Erhaltet die Zügel des Todesstreitrosses von Totenschwur in Stratholme. ; -ability_mount_undeadhorse
508 ; Frostsäbler aus Winterquell ; Erhaltet einen Frostsäbler aus Winterquell. ; -ability_mount_pinktiger
509 ; Auf in den Kampf! ; Hat am Kampf um das Dunkle Portal teilgenommen. Träger des Wappenrock des Beschützers. ; -inv_shirt_guildtabard_01
510 ; Kriegsgleven von Azzinoth ; Träger eines Sets der Kriegsgleven von Azzinoth. ; -Inv_Weapon_Glave_01
511 ; Thori'dal, Furor der Sterne ; Träger von Thori'dal, Furor der Sterne. ; -inv_weapon_bow_39
512 ; Kriegsbär der Amani ; Besitzer des Kriegsbären der Amani. ; -ability_druid_challangingroar
513 ; Schneller weißer Falkenschreiter ; Erhaltet den schnellen weißen Falkenschreiter von Kael'thas Sonnenwanderer auf der Terrasse der Magister. ; -ability_mount_cockatricemountelite_green
514 ; Al'ars Asche ; Erhaltet Al'ars Asche von Kael'thas Sonnenwanderer in der Festung der Stürme. ; -inv_misc_summerfest_brazierorange
515 ; Eroberer der Scherbenwelt ; Bezwingt Archimonde und Illidan Sturmgrimm in der ersten Woche von Phase 3. ; -Inv_Helmet_96
516 ; 25 Fische ; Angelt 25 Gegenstände oder Fische. ; -inv_misc_fish_50
517 ; 50 Fische ; Angelt 50 Gegenstände oder Fische. ; -inv_misc_fish_50
518 ; 100 Fische ; Angelt 100 Gegenstände oder Fische. ; -inv_misc_fish_50
519 ; 250 Fische ; Angelt 250 Gegenstände oder Fische. ; -inv_misc_fish_50
520 ; 500 Fische ; Angelt 500 Gegenstände oder Fische. ; -inv_misc_fish_50
521 ; 1.000 Fische ; Angelt 1.000 Gegenstände oder Fische. ; -inv_misc_fish_50
522 ; Schnelle Fluggestalt ; Die Druidenquest zum Erlernen einer schnellen Fluggestalt abgeschlossen. ; -ability_druid_flightform
523 ; Segel setzen, Admiral! ; Erhaltet den Blutsegeladmiralshut... und versucht, zwischendurch etwas frische Luft zu tanken. ; -inv_helmet_66
524 ; Schreckensross von Xoroth ; Die Hexenmeisterquest zur Beschwörung eines Schreckensrosses von Xoroth abgeschlossen. ; -ability_mount_dreadsteed
525 ; Streitross ; Die Paladinquest zur Erlangung eines Streitrosses abgeschlossen. ; -ability_mount_charger
526 ; Hügel wie weiße Elekk ; Schließt alle Hemet Nesingwary-Quests in Nagrand bis hin zu und inklusive 'Die ultimative Beute' ab. ; -ability_mount_ridingelekk
527 ; Die Zügel des Reiters ; Erhaltet während der Schlotternächte die Zügel des Reiters vom kopflosen Reiter im Scharlachroten Kloster. ; -inv_belt_12
528 ; Der Held Shattraths ; Bei den Sehern und den Aldor den Status ehrfürchtig erreicht. ; -spell_arcane_teleportshattrath
529 ; Champion der Naaru ; Den Titel "Champion der Naaru" erhalten. ; -inv_mace_51
530 ; Hand von A'dal ; Den Titel "Hand von A'dal" erhalten. ; -inv_mace_25
531 ; Geschlottert werde dein Name ; Schließt die unten aufgelisteten Schlotternächte-Erfolge ab. ; -achievement_halloween_witch_01
532 ; Fauliges Schlottern ; Ruiniert die Schlotternächte für die Allianz. Schließt dafür die Quests für die Ruferin der Dunkelheit, Yanka, ab, die Euch nach Süderstade führen, damit Ihr dort die Fässer mit faulen Eiern ruiniert und Stinkbomben in die Stadt werft. ; -achievement_halloween_rottenegg_01
533 ; Schlotternachtssüßigkeiten für Spoops! ; Sammelt die gewünschten Süßigkeiten für Spoops. ; -inv_misc_food_26
534 ; Süßes oder Saures! ; Erhaltet einen Schlotterbeutel von einem Gastwirt. ; -inv_misc_food_30
535 ; Ziemlich gruselig ; Erhaltet eine Kürbistasche während der Schlotternächte. ; -inv_misc_food_59
536 ; Anrufung des Weidenmanns ; Erhaltet während der Schlotternächte den Stärkungszauber "Anrufung des Weidenmanns". ; -inv_waepon_bow_zulgrub_d_02
537 ; Maskiert ; Erhaltet während der Schlotternächte eine leichte Maske. ; -inv_mask_06
538 ; Eine Maske für jede Gelegenheit ; Sammelt die 16 unten aufgelisteten einzigartigen leichten Masken. ; -inv_mask_04
539 ; Die Maskerade ; Lasst Euch von den unten aufgelisteten Stäben der Verwandlung transformieren. ; -achievement_halloween_ghost_01
540 ; Saphirons Ableben ; Bezwingt Saphiron in Naxxramas. ; -inv_misc_head_dragon_blue
541 ; Winterhauchengel ; Schließt die unten aufgelisteten Winterhaucherfolge ab. ; -achievement_worldevent_merrymaker
542 ; Auf Metzen! ; Rettet Metzen das Rentier. ; -achievement_worldevent_reindeer
543 ; Einfach grässlich ; Schließt die Quest zur Wiederbeschaffung von Kokelwälders gestohlenen Leckereien ab und erhaltet ein Dankeschön von Kokelwälder. ; -inv_helmet_68
544 ; Der Winterhauch-Gourmet ; Nutzt während des Winterhauchfests Eure kulinarische Expertise, um einen Lebkuchen und einen Eierflip herzustellen. ; -inv_misc_food_62
545 ; Waren wir brav dieses Jahr? ; Öffnet eines der Geschenke unter dem Winterhauchbaum, sobald sie verfügbar sind. ; -inv_holiday_christmas_present_01
546 ; Mitten ins Gesicht ; Werft während des Winterhauchfests einen Schneeball auf Cairne Bloodhof. ; -inv_ammo_snowball
547 ; Fischsammlung der Scherbenwelt ; Fangt die unten aufgelisteten Fische in der Scherbenwelt. ; -Inv_Misc_Fish_37
548 ; Fische hinterlassen keine Fußspuren ; Erlernt die Fertigkeit, Fische zu finden. ; achievement_profession_fishing_findfish
549 ; Fische für den alten Barlo ; Schließt jede der unten aufgelisteten 5 täglichen Angelquests des alten Barlo ab. ; achievement_profession_fishing_oldmanbarlowned
550 ; Alter Eisenkiefer ; Angelt den alten Eisenkiefer in Eisenschmiede. ; -inv_misc_fish_31
551 ; Alter Fuchs ; Angelt den alten Fuchs in Orgrimmar. ; -inv_misc_fish_35
552 ; Der angelnde Diplomat ; Bekommt etwas in Orgrimmar und Sturmwind an den Haken. ; -inv_helmet_44
554 ; Versierter Angler ; Schließt die unten aufgelisteten Angelerfolge ab. ; -trade_fishing
556 ; Bitte nicht zu scharf ; Schließt jede der 4 unten aufgelisteten täglichen Kochquests des Rokk ab. ; -inv_misc_cauldron_arcane
555 ; Kapitän Rumseys Lagerbier ; Braut etwas von Kapitän Rumseys Lagerbier. ; -inv_drink_03
557 ; Der Scherbenwelt-Gourmet ; Kocht jedes der unten aufgelisteten Rezepte aus der Scherbenwelt. ; -inv_misc_food_84_roastclefthoof
558 ; Ein Hoch auf den Koch! ; Schließt die unten aufgelisteten Kocherfolge ab. ; achievement_profession_chefhat
559 ; Hoch über Skettis ; Erreicht bei der Himmelswache der Sha'tari den Status ehrfürchtig. ; -ability_hunter_pet_netherray
560 ; Cenarischer Kriegshippogryph ; Erhaltet den cenarischen Kriegshippogryphen von der Expedition des Cenarius in den Zangarmarschen. ; -ability_mount_warhippogryph
561 ; Wappenrock der Argentumdämmerung ; Einen Wappenrock der Argentumdämmerung durch das Ereignis 'Invasion der Geißel' erhalten. ; -inv_shirt_guildtabard_01
562 ; Auf Nummer sicher ; Bezwingt Heigan den Unreinen in Naxxramas, ohne dass jemand aus dem Schlachtzug stirbt. ; -ability_rogue_quickrecovery
563 ; Legt Flickwerk schnell das Handwerk ; Bezwingt Flickwerk in Naxxramas in höchstens 3 Minuten. ; -spell_shadow_abominationexplosion
564 ; Der Diplomat ; Erhöht Euren Ruf bei der Holzschlundfeste, den Sporeggar und den Kurenai von unfreundlich auf ehrfürchtig. ; -inv_helmet_44
565 ; Ich krieg' einfach nicht genug ; Bezwingt Kel'Thuzad in Naxxramas, nachdem ihr mindestens 18 Monstrositäten in seiner Kammer besiegt habt. ; spell_deathknight_plaguestrike
566 ; Kleiner Helfer in der Not ; Erringt 50 ehrenhafte Siege als kleiner Helfer der Winterwundervolt-Maschine. ; -achievement_worldevent_littlehelper
567 ; 5 tägliche Quests abgeschlossen ; Schließt 5 tägliche Quests ab. ; achievement_quests_completed_daily_01
568 ; 50 tägliche Quests abgeschlossen ; Schließt 50 tägliche Quests ab. ; achievement_quests_completed_daily_02
569 ; 200 tägliche Quests abgeschlossen ; Schließt 200 tägliche Quests ab. ; achievement_quests_completed_daily_03
570 ; 500 tägliche Quests abgeschlossen ; Schließt 500 tägliche Quests ab. ; achievement_quests_completed_daily_04
571 ; 1.000 tägliche Quests abgeschlossen ; Schließt 1.000 tägliche Quests ab. ; achievement_quests_completed_daily_05
572 ; 2.500 tägliche Quests abgeschlossen ; Schließt 2.500 tägliche Quests ab. ; achievement_quests_completed_daily_06
573 ; 5.000 tägliche Quests abgeschlossen ; Schließt 5.000 tägliche Quests ab. ; achievement_quests_completed_daily_07
574 ; 10.000 tägliche Quests abgeschlossen ; Schließt 10.000 tägliche Quests ab. ; achievement_quests_completed_daily_08
575 ; ...nicht noch ein Dämonenlord! ; Bezwingt Hochlord Kruul während des Kampf um das Dunkle Portal. ; -spell_shadow_demonictactics
576 ; Zirkel des Cenarius ; Erreicht beim Zirkel des Cenarius den Status ehrfürchtig. ; -ability_druid_manatree
